resume_text,job_description,match_score,match_label
"UI/UX Designer with 3 years of experience in wireframing, design systems, user research, usability testing. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Seeking a Machine Learning Engineer with strong experience in Machine Learning, AWS, MLOps, Python. You will build, train, deploy, and maintain production machine learning systems.",0.06,low
"Data Scientist with 8 years of experience using Python, Pandas, SQL, scikit-learn, data visualization. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","Looking for a Data Scientist skilled in NumPy, scikit-learn, Python, data visualization, SQL, Machine Learning, Pandas. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",0.87,HIGH
"UI/UX Designer with 7 years of experience in responsive design, wireframing, Figma, prototyping, usability testing, design systems. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Hiring a UI/UX Designer skilled in design systems, responsive design, user research, prototyping, Figma, wireframing. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.92,high
"Data Analyst with 4 years of experience using Pandas, Tableau, Python, Power BI, Excel. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Data Analyst with experience in Pandas, Excel, data visualization, Tableau, Power BI, SQL. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.93,HIGH
"Frontend Developer with 7 years of experience creating responsive web applications using HTML, JavaScript, REST APIs, TypeScript, CSS, React. Focused on reusable components, performance, accessibility, and user experience.","We need a Frontend Developer experienced with REST APIs, TypeScript, HTML, JavaScript, CSS, React, Git. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers.",0.87,High
"Cloud Engineer with 3 years of experience using Kubernetes, Docker, networking, AWS, cloud architecture, Linux. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Cloud Engineer experienced in AWS, Terraform, Linux, cloud architecture, networking, Kubernetes. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.79,high
"Business Analyst with 7 years of experience in SQL, Power BI, Excel, stakeholder management. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","We need a Frontend Developer experienced with Git, REST APIs, CSS, React, TypeScript. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.51,Medium
"Cybersecurity Analyst with 6 years of experience in vulnerability assessment, Python, security monitoring. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Seeking a Cloud Engineer experienced in AWS, Linux, networking, Kubernetes. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.55,Medium
"Cloud Engineer with 5 years of experience using Linux, Terraform, AWS. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Business Analyst with experience in Power BI, stakeholder management, Excel, requirements gathering, process analysis. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.43,MEDIUM
"Data Analyst with 4 years of experience using SQL, Power BI, data visualization, Excel, Tableau, Python, Pandas. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Data Analyst with experience in SQL, Power BI, Excel, data visualization, Python, Pandas. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.83,HIGH
"DevOps Engineer with 6 years of experience using CI/CD, Linux, Git, Terraform, Kubernetes. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Hiring a Java Developer with experience in REST APIs, Docker, Java, SQL, Git. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.2,LOW
"Frontend Developer with 7 years of experience creating responsive web applications using TypeScript, HTML, REST APIs, React, CSS. Focused on reusable components, performance, accessibility, and user experience.","We are hiring a Python Developer with experience in FastAPI, Docker, PostgreSQL, Git, REST APIs. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.7,MEDIUM
"UI/UX Designer with 4 years of experience in responsive design, prototyping, design systems. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Looking for a Cybersecurity Analyst with knowledge of incident response, SIEM, vulnerability assessment, Python, security monitoring. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.54,Medium
"Data Analyst with 3 years of experience using data visualization, Pandas, Power BI, SQL, Python. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Data Analyst with experience in Power BI, Excel, Tableau, Python, data visualization, SQL, Pandas. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.8,High
"Cybersecurity Analyst with 9 years of experience in Linux, incident response, security monitoring, network security, vulnerability assessment, Python, SIEM. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Looking for a Cybersecurity Analyst with knowledge of incident response, network security, security monitoring, Python, vulnerability assessment, SIEM, Linux. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management.",0.33,HIGH
"Data Scientist with 9 years of experience using Machine Learning, Python, Pandas, SQL. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","We are hiring a Python Developer with experience in Python, FastAPI, PostgreSQL, REST APIs. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git.",0.11,low
"Business Analyst with 9 years of experience in Power BI, SQL, Excel, process analysis, requirements gathering. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Looking for a Backend Developer experienced in PostgreSQL, SQL, Node.js, Python, REST APIs. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.41,medium
"Backend Developer with 7 years of experience building server-side applications using REST APIs, SQL, PostgreSQL. Designed APIs, optimized databases, and delivered reliable services.","Seeking a Business Analyst with experience in process analysis, requirements gathering, Excel, stakeholder management. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.1,Low
"DevOps Engineer with 7 years of experience using CI/CD, AWS, Docker, Linux, Git. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Hiring a UI/UX Designer skilled in user research, usability testing, responsive design, design systems. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.63,MEDIUM
"Data Scientist with 3 years of experience using Python, SQL, Machine Learning, Pandas. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","Seeking a DevOps Engineer skilled in Kubernetes, CI/CD, Docker, Terraform. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.5,medium
"Java Developer with 3 years of experience developing enterprise applications using Git, REST APIs, Spring Boot, Docker. Built backend services, integrated databases, and maintained reliable APIs.","We are hiring a Data Analyst with experience in Pandas, Excel, Tableau, Python, Power BI. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.48,medium
"Cloud Engineer with 4 years of experience using networking, cloud architecture, Terraform, Linux, Kubernetes, AWS. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Cloud Engineer experienced in Kubernetes, Docker, Terraform, AWS, Linux, networking, cloud architecture. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.77,high
"UI/UX Designer with 8 years of experience in Figma, wireframing, responsive design, design systems, prototyping, user research, usability testing. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Hiring a UI/UX Designer skilled in user research, prototyping, wireframing, usability testing, design systems, responsive design. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.91,HIGH
"Python developer with 5 years of experience building backend applications using PostgreSQL, Django, Python. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","Seeking a Machine Learning Engineer with strong experience in Machine Learning, Python, TensorFlow, PyTorch, MLOps. You will build, train, deploy, and maintain production machine learning systems.",0.15,low
"Business Analyst with 9 years of experience in documentation, process analysis, requirements gathering, SQL. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","We need a Frontend Developer experienced with React, TypeScript, HTML, CSS, Git. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.51,medium
"UI/UX Designer with 5 years of experience in wireframing, user research, Figma, design systems, responsive design. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Seeking a Business Analyst with experience in Excel, documentation, requirements gathering. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.07,low
"UI/UX Designer with 7 years of experience in responsive design, design systems, Figma. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Seeking a Machine Learning Engineer with strong experience in Python, AWS, Docker. You will build, train, deploy, and maintain production machine learning systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.48,medium
"DevOps Engineer with 9 years of experience using Terraform, CI/CD, Linux, AWS, Kubernetes. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","We are hiring a Python Developer with experience in REST APIs, Python, Git, FastAPI, Docker. The candidate should build scalable backend services, develop REST APIs, work with databases, and collaborate using Git. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.69,medium
"Data Scientist with 7 years of experience using NumPy, Pandas, SQL, Python, data visualization, Machine Learning. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","Looking for a Data Scientist skilled in SQL, NumPy, Pandas, data visualization, scikit-learn, Python. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",0.84,High
"Python developer with 8 years of experience building backend applications using Docker, FastAPI, REST APIs, Python, PostgreSQL. Experienced in API development, database design, debugging, testing, and collaborating with development teams.","Looking for a Backend Developer experienced in REST APIs, Node.js, PostgreSQL. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.62,MEDIUM
"UI/UX Designer with 3 years of experience in wireframing, usability testing, user research, design systems, prototyping. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Hiring a UI/UX Designer skilled in user research, usability testing, design systems, prototyping, responsive design, wireframing, Figma. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.84,High
"DevOps Engineer with 6 years of experience using Git, CI/CD, Linux, Docker. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Hiring a Java Developer with experience in Hibernate, Git, SQL. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.28,Low
"Machine Learning Engineer with 7 years of experience working with PyTorch, Machine Learning, Python, TensorFlow. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Looking for a Cybersecurity Analyst with knowledge of Python, incident response, SIEM, vulnerability assessment. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management.",0.22,low
"UI/UX Designer with 2 years of experience in Figma, usability testing, responsive design, wireframing, design systems. Created user flows, prototypes, design systems, and interfaces based on user research and testing.","Hiring a UI/UX Designer skilled in responsive design, prototyping, Figma, wireframing, user research. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability.",0.88,high
"Data Scientist with 4 years of experience using Python, Machine Learning, Pandas, data visualization, scikit-learn, SQL, NumPy. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","Looking for a Data Scientist skilled in data visualization, scikit-learn, SQL, Pandas, Python, Machine Learning, NumPy. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",1.25,HIGH
"Frontend Developer with 6 years of experience creating responsive web applications using JavaScript, CSS, REST APIs, HTML, React. Focused on reusable components, performance, accessibility, and user experience.","Seeking a Machine Learning Engineer with strong experience in Machine Learning, MLOps, TensorFlow, Python. You will build, train, deploy, and maintain production machine learning systems.",0.24,Low
"Cloud Engineer with 4 years of experience using AWS, networking, Terraform, cloud architecture. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Business Analyst with experience in SQL, stakeholder management, process analysis. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.48,Medium
"Machine Learning Engineer with 6 years of experience working with TensorFlow, Python, MLOps, Machine Learning, AWS, PyTorch. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Seeking a Machine Learning Engineer with strong experience in PyTorch, Machine Learning, Docker, AWS, TensorFlow. You will build, train, deploy, and maintain production machine learning systems.",0.86,HIGH
"Backend Developer with 7 years of experience building server-side applications using Git, Docker, PostgreSQL, SQL, Node.js. Designed APIs, optimized databases, and delivered reliable services.","Looking for a Backend Developer experienced in Docker, SQL, PostgreSQL, Python, REST APIs, Git, Node.js. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services.",0.88,High
"Machine Learning Engineer with 8 years of experience working with TensorFlow, Machine Learning, MLOps, Docker, PyTorch. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Seeking a Business Analyst with experience in process analysis, documentation, stakeholder management. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.44,Medium
"Data Analyst with 3 years of experience using SQL, Tableau, Power BI, data visualization, Pandas, Python, Excel. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Data Analyst with experience in Pandas, data visualization, Excel, Tableau, SQL, Python. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.83,High
"Cybersecurity Analyst with 5 years of experience in vulnerability assessment, incident response, Python, security monitoring, SIEM. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Looking for a Cybersecurity Analyst with knowledge of Python, network security, SIEM, Linux, vulnerability assessment, security monitoring, incident response. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management.",0.87,high
"Cybersecurity Analyst with 6 years of experience in incident response, SIEM, Python, network security, Linux, security monitoring. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Looking for a Cybersecurity Analyst with knowledge of Python, network security, incident response, SIEM, Linux. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management.",0.76,HIGH
"Java Developer with 6 years of experience developing enterprise applications using Spring Boot, Java, REST APIs, Docker, Git. Built backend services, integrated databases, and maintained reliable APIs.","Hiring a UI/UX Designer skilled in usability testing, design systems, wireframing. You will conduct user research, create wireframes and prototypes, maintain design systems, and improve product usability. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.59,medium
"Data Analyst with 6 years of experience using Tableau, Pandas, SQL, Excel, Power BI, Python, data visualization. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Data Analyst with experience in SQL, data visualization, Excel, Power BI, Pandas, Python. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.82,HIGH
"Backend Developer with 2 years of experience building server-side applications using Docker, REST APIs, Node.js, PostgreSQL, Python. Designed APIs, optimized databases, and delivered reliable services.","Looking for a Backend Developer experienced in Python, Docker, PostgreSQL, Git, REST APIs, Node.js, SQL. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services.",0.76,high
"DevOps Engineer with 2 years of experience using Git, Linux, AWS, Docker, Kubernetes. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Hiring a Java Developer with experience in Git, Java, Spring Boot, SQL, Docker. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.68,medium
"Cybersecurity Analyst with 8 years of experience in network security, security monitoring, vulnerability assessment, incident response, Python. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Seeking a Cloud Engineer experienced in Terraform, networking, Docker. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.66,medium
"Business Analyst with 2 years of experience in requirements gathering, documentation, SQL. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Looking for a Data Scientist skilled in NumPy, Pandas, data visualization. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",0.33,low
"Cybersecurity Analyst with 4 years of experience in vulnerability assessment, network security, Python, incident response. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Seeking a Business Analyst with experience in Power BI, documentation, process analysis, requirements gathering. The candidate will gather requirements, analyze business processes, prepare documentation, and work with stakeholders.",0.22,LOW
"Data Analyst with 6 years of experience using data visualization, Excel, Python, Pandas, Power BI, SQL. Created dashboards, cleaned data, performed analysis, and delivered reports that support business decisions.","We are hiring a Data Analyst with experience in Pandas, SQL, Python, Excel, data visualization, Power BI. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.81,HIGH
"DevOps Engineer with 4 years of experience using Git, Terraform, Kubernetes, Linux. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Looking for a Cybersecurity Analyst with knowledge of SIEM, incident response, network security, security monitoring, Python. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.44,Medium
"Business Analyst with 8 years of experience in Excel, process analysis, SQL. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Looking for a Cybersecurity Analyst with knowledge of vulnerability assessment, Python, incident response. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management.",0.32,low
"Data Scientist with 2 years of experience using data visualization, SQL, Pandas, Python, NumPy. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","Looking for a Data Scientist skilled in scikit-learn, SQL, NumPy, Pandas, Python, Machine Learning. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",0.88,High
"Java Developer with 9 years of experience developing enterprise applications using Git, REST APIs, Hibernate, SQL. Built backend services, integrated databases, and maintained reliable APIs.","Looking for a Backend Developer experienced in REST APIs, Git, Python. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.69,MEDIUM
"Java Developer with 8 years of experience developing enterprise applications using Java, Git, Docker, Spring Boot, SQL, Hibernate. Built backend services, integrated databases, and maintained reliable APIs.","Hiring a Java Developer with experience in SQL, Hibernate, Docker, REST APIs, Spring Boot. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.9,High
"Frontend Developer with 5 years of experience creating responsive web applications using Git, TypeScript, CSS, HTML, REST APIs. Focused on reusable components, performance, accessibility, and user experience.","Looking for a Cybersecurity Analyst with knowledge of security monitoring, SIEM, Linux, vulnerability assessment. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management.",0.14,Low
"Data Scientist with 6 years of experience using NumPy, Pandas, data visualization, Python. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","We need a Frontend Developer experienced with HTML, React, CSS, Git. The role involves building responsive interfaces, integrating APIs, improving performance, and collaborating with designers. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.54,medium
"DevOps Engineer with 5 years of experience using Docker, CI/CD, Git. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Looking for a Backend Developer experienced in Docker, PostgreSQL, REST APIs, SQL. Responsibilities include building APIs, designing databases, improving performance, and maintaining backend services. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.61,Medium
"Cloud Engineer with 4 years of experience using AWS, cloud architecture, Kubernetes, Terraform, Docker, networking, Linux. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Seeking a Cloud Engineer experienced in Docker, Kubernetes, Linux, networking, Terraform, AWS. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.91,HIGH
"DevOps Engineer with 7 years of experience using Git, Kubernetes, Terraform, AWS, Linux. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Hiring a Java Developer with experience in REST APIs, Spring Boot, Java. Responsibilities include designing backend services, developing APIs, working with databases, and writing maintainable code.",0.29,LOW
"Data Scientist with 2 years of experience using NumPy, data visualization, scikit-learn, SQL, Machine Learning. Built predictive models, performed exploratory data analysis, cleaned datasets, and communicated insights to stakeholders.","Looking for a Data Scientist skilled in Machine Learning, Pandas, SQL, NumPy, Python. Responsibilities include data analysis, feature engineering, model development, evaluation, and presenting business insights.",0.89,High
"Cloud Engineer with 4 years of experience using Linux, Terraform, Kubernetes, AWS. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","Looking for a Cybersecurity Analyst with knowledge of incident response, SIEM, network security, Linux, vulnerability assessment. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.45,MEDIUM
"Machine Learning Engineer with 8 years of experience working with Machine Learning, PyTorch, AWS, MLOps, Python. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Looking for a Cybersecurity Analyst with knowledge of vulnerability assessment, Python, security monitoring, network security, incident response. Responsibilities include monitoring security events, investigating incidents, and supporting vulnerability management. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.58,medium
"Machine Learning Engineer with 4 years of experience working with MLOps, TensorFlow, Python, PyTorch, Machine Learning. Developed training pipelines, deployed ML models, optimized inference, and monitored model performance.","Seeking a DevOps Engineer skilled in Terraform, Kubernetes, CI/CD. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.29,Low
"Business Analyst with 7 years of experience in process analysis, documentation, stakeholder management, SQL. Gathered requirements, analyzed processes, prepared documentation, and supported data-driven decisions.","Seeking a Cloud Engineer experienced in cloud architecture, Terraform, Docker. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.26,LOW
"Java Developer with 3 years of experience developing enterprise applications using Java, SQL, Spring Boot. Built backend services, integrated databases, and maintained reliable APIs.","We are hiring a Data Analyst with experience in Tableau, SQL, Excel. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights.",0.13,low
"Cloud Engineer with 5 years of experience using Docker, Linux, cloud architecture. Designed cloud infrastructure, automated deployments, improved security, and maintained scalable services.","We are hiring a Data Analyst with experience in SQL, Power BI, Pandas, Tableau. You will analyze datasets, create dashboards, write SQL queries, and communicate actionable insights. Preferred transferable experience includes Python, SQL, APIs, analytics, cloud, or software development depending on the project.",0.57,medium
"DevOps Engineer with 7 years of experience using Linux, AWS, CI/CD, Kubernetes, Docker. Automated deployments, managed cloud infrastructure, monitored systems, and improved reliability.","Seeking a DevOps Engineer skilled in Git, Terraform, AWS, Docker, CI/CD, Linux, Kubernetes. The candidate will manage infrastructure, automate CI/CD pipelines, deploy containers, and monitor production systems.",0.93,High
"Cybersecurity Analyst with 4 years of experience in vulnerability assessment, incident response, network security. Investigated alerts, performed vulnerability assessments, supported incident response, and improved security controls.","Seeking a Cloud Engineer experienced in cloud architecture, Terraform, Kubernetes. The role includes designing cloud infrastructure, managing deployments, improving reliability, and supporting secure systems.",0.26,Low
